ActiveTime,ClientType,ComputerName,Description,IdleTime,InstallDate,Name,ResourcesOpened,SessionType,Status,TransportName,UserName
16869,"Windows Server 2003 3790 Service Pack 1","172.18.128.19","",0,,"",5,2,"","\Device\NetbiosSmb","ST79208",
16852,"Windows Server 2003 3790 Service Pack 1","172.18.128.6","",0,,"",5,2,"","\Device\NetbiosSmb","JP57277",
16842,"Windows Server 2003 3790 Service Pack 1","172.18.128.17","",0,,"",17,2,"","\Device\NetbiosSmb","RR59387",
16806,"Windows Server 2003 3790 Service Pack 1","172.18.128.21","",0,,"",6,2,"","\Device\NetbiosSmb","WB75808",
16801,"Windows 2000 2195","172.18.0.225","",7676,,"",0,2,"","\Device\NetbiosSmb","MS82651",
16774,"Windows Server 2003 3790 Service Pack 1","172.18.128.5","",0,,"",17,2,"","\Device\NetbiosSmb","JL76916",
16720,"Windows 2000 2195","172.18.0.62","",0,,"",9,2,"","\Device\NetbiosSmb","MM75373",
16684,"Windows Server 2003 3790 Service Pack 1","172.18.128.7","",0,,"",16,2,"","\Device\NetbiosSmb","RP58604",
16627,"Windows 2000 2195","172.18.0.52","",23,,"",0,2,"","\Device\NetbiosSmb","MAE0046",
16563,"Windows 2000 2195","172.18.0.59","",61,,"",9,2,"","\Device\NetbiosSmb","JC35655",
16527,"Windows 2000 2195","172.18.2.111","",0,,"",19,2,"","\Device\NetbiosSmb","RE90310",
16496,"Windows Server 2003 3790 Service Pack 1","172.18.128.13","",0,,"",5,2,"","\Device\NetbiosSmb","IS82841",
16496,"Windows 2000 2195","172.18.0.236","",87,,"",10,2,"","\Device\NetbiosSmb","RC79132",
16491,"Windows Server 2003 3790 Service Pack 1","172.18.128.9","",0,,"",16,2,"","\Device\NetbiosSmb","TA76404",
16487,"Windows 2000 2195","172.18.0.234","",5008,,"",1,2,"","\Device\NetbiosSmb","GM38037",
16484,"Windows Server 2003 3790 Service Pack 1","172.18.128.2","",0,,"",4,2,"","\Device\NetbiosSmb","GM38037",
16419,"Windows Server 2003 3790 Service Pack 1","172.18.128.25","",0,,"",8,2,"","\Device\NetbiosSmb","HH59847",
16412,"Windows Server 2003 3790 Service Pack 1","172.18.128.24","",0,,"",7,2,"","\Device\NetbiosSmb","JB59003",
16371,"Windows 2000 2195","172.18.11.31","",487,,"",1,2,"","\Device\NetbiosSmb","JH39763",
16356,"Windows 2000 2195","172.18.0.238","",294,,"",10,2,"","\Device\NetbiosSmb","SW79023",
16354,"Windows Server 2003 3790 Service Pack 1","172.18.128.23","",0,,"",13,2,"","\Device\NetbiosSmb","RF79832",
16347,"Windows 2000 2195","172.18.0.232","",0,,"",12,2,"","\Device\NetbiosSmb","WK73265",
16321,"Windows Server 2003 3790 Service Pack 1","172.18.128.19","",0,,"",13,2,"","\Device\NetbiosSmb","JE79659",
16299,"Windows Server 2003 3790 Service Pack 1","172.18.128.8","",0,,"",16,2,"","\Device\NetbiosSmb","MBE1878",
16281,"Windows Server 2003 3790 Service Pack 1","172.18.128.12","",0,,"",13,2,"","\Device\NetbiosSmb","SP81370",
16281,"Windows Server 2003 3790 Service Pack 1","172.18.128.6","",0,,"",12,2,"","\Device\NetbiosSmb","PD77089",
16237,"Windows Server 2003 3790 Service Pack 1","172.18.128.21","",0,,"",19,2,"","\Device\NetbiosSmb","EW77628",
16205,"Windows Server 2003 3790 Service Pack 1","172.18.128.16","",0,,"",7,2,"","\Device\NetbiosSmb","HP79329",
16185,"Windows 2000 2195","172.18.0.230","",237,,"",11,2,"","\Device\NetbiosSmb","RH59994",
15948,"Windows Server 2003 3790 Service Pack 1","172.18.128.13","",0,,"",14,2,"","\Device\NetbiosSmb","JF75611",
15898,"Windows 2000 2195","172.18.0.59","",7878,,"",0,2,"","\Device\NetbiosSmb","RB78341",
15893,"Windows Server 2003 3790 Service Pack 1","172.18.128.5","",0,,"",17,2,"","\Device\NetbiosSmb","CP38537",
15860,"Windows Server 2003 3790 Service Pack 1","172.18.128.3","",0,,"",17,2,"","\Device\NetbiosSmb","PS80909",
